ticker,date,close
XOM,2017-02-06,83.31
XOM,2017-02-03,83.54
XOM,2017-02-02,83.45
XOM,2017-02-01,82.94
XOM,2017-01-31,83.89
XOM,2017-01-30,84.86
XOM,2017-01-27,85.51
XOM,2017-01-26,85.6
XOM,2017-01-25,85.34
XOM,2017-01-24,85.09
XOM,2017-01-23,84.97
XOM,2017-01-20,85.89
XOM,2017-01-19,84.73
XOM,2017-01-18,86.28
XOM,2017-01-17,87.36
XOM,2017-01-13,86.35
XOM,2017-01-12,86.34
XOM,2017-01-11,86.81
XOM,2017-01-10,85.93
XOM,2017-01-09,87.04
XOM,2017-01-06,88.5
XOM,2017-01-05,88.55
XOM,2017-01-04,89.89
XOM,2017-01-03,90.89
XOM,2016-12-30,90.26
XOM,2016-12-29,90.35
XOM,2016-12-28,90.3
XOM,2016-12-27,90.75
XOM,2016-12-23,90.71
XOM,2016-12-22,90.87
XOM,2016-12-21,90.28
XOM,2016-12-20,90.43
XOM,2016-12-19,90.42
XOM,2016-12-16,91.18
XOM,2016-12-15,90.89
XOM,2016-12-14,90.58
XOM,2016-12-13,92.58
XOM,2016-12-12,90.98
XOM,2016-12-09,89
XOM,2016-12-08,88.32
XOM,2016-12-07,88.07
XOM,2016-12-06,87.56
XOM,2016-12-05,87.48
XOM,2016-12-02,87.04
XOM,2016-12-01,87.24
XOM,2016-11-30,87.3
XOM,2016-11-29,85.9
XOM,2016-11-28,86.47
XOM,2016-11-25,87.12
XOM,2016-11-23,86.92
XOM,2016-11-22,86.68
XOM,2016-11-21,86.49
XOM,2016-11-18,85.28
XOM,2016-11-17,85.23
XOM,2016-11-16,85.75
XOM,2016-11-15,86.82
XOM,2016-11-14,85.28
XOM,2016-11-11,85.67
XOM,2016-11-10,87.05
XOM,2016-11-09,86.25
XOM,2016-11-08,85.31
